,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
131,0.0,Thu Mar 08 23:11:30 +0000 2018,1.0,0.0,0.0,"In several letters with @steve_dorsey, ""Pharma Bro"" Martin Shrkeli lashed out at the media, discussed his budding f… https://t.co/KcPRVkSHtC",32,CBSNews
132,0.34,Thu Mar 08 22:41:32 +0000 2018,0.888,0.0,0.112,"NEW: South Korean national security adviser to make announcement in WH briefing room at 7 p.m. ET, White House officials say.",33,CBSNews
133,0.6124,Thu Mar 08 22:40:01 +0000 2018,0.795,0.045,0.159,One of the best running backs in the 2018 NFL Draft class says a team asked about his sexuality at last week's comb… https://t.co/y7EtWiNdGb,34,CBSNews
134,-0.765,Thu Mar 08 22:20:25 +0000 2018,0.761,0.239,0.0,Tom Brady's mop of brunette hair is no more -- the Patriots quarterback chopped it off in the name of cancer resear… https://t.co/PRKJLjMgdR,35,CBSNews
135,0.3818,Thu Mar 08 22:00:02 +0000 2018,0.72,0.088,0.192,"""No matter how you slice it, falsity wins out"": On Twitter, false information travels six times faster than the tru… https://t.co/AMpFR3naC9",36,CBSNews
136,0.4404,Thu Mar 08 21:42:45 +0000 2018,0.868,0.0,0.132,"She was ""originally only supposed to stay for a few days after her arrival."" But as the ""Fearless Girl"" celebrates… https://t.co/TpVeJcxXN5",37,CBSNews
137,0.1531,Thu Mar 08 21:24:17 +0000 2018,0.654,0.136,0.21,Judge recommends President Donald Trump mute rather than block some Twitter followers to resolve a First Amendment… https://t.co/MrWzI1bL4f,38,CBSNews
138,-0.34,Thu Mar 08 21:13:04 +0000 2018,0.876,0.124,0.0,"""Even in the proclamation the president just signed a few minutes, there is still uncertainty about which countries… https://t.co/DhKYdvMc1F",39,CBSNews
139,0.0,Thu Mar 08 21:04:33 +0000 2018,1.0,0.0,0.0,WATCH: Pres. Trump signs new tariffs on aluminum and steel imports; 25 percent on steel imports and 10 percent on a… https://t.co/BBt7WZBwfB,40,CBSNews
140,0.6486,Thu Mar 08 21:02:28 +0000 2018,0.782,0.0,0.218,"""I thank you for the opportunity for what you are doing,"" president of local steelworker union tells Pres. Trump.
""… https://t.co/sWTkNSFDti",41,CBSNews
141,0.0,Thu Mar 08 20:53:20 +0000 2018,1.0,0.0,0.0,"""Due to the unique nature of our relationship with Canada and Mexico, we are negotiating NAFTA -- we are going to h… https://t.co/l5LeV1z2cz",42,CBSNews
142,-0.0382,Thu Mar 08 20:46:54 +0000 2018,0.898,0.102,0.0,"""The actions we are taking today are not a matter of choice, they are a matter of necessity for our security,"" Pres… https://t.co/1VlwPTd9ir",43,CBSNews
143,0.34,Thu Mar 08 20:44:44 +0000 2018,0.876,0.0,0.124,"""Today, I am defending America's national security, by placing tariffs on foreign imports of steel &amp; aluminum,"" Pre… https://t.co/7nKXkalnZR",44,CBSNews
144,0.3818,Thu Mar 08 20:43:23 +0000 2018,0.885,0.0,0.115,"Pres. Trump: ""We have to protect and build our steel and aluminum industries, while at the same time showing great… https://t.co/U79uBUOv6d",45,CBSNews
